"","Suburb","5k_or_less","5k_to_10k","10k_to_20k","20k_to_30k","30k_to_50k","50k_to_70k","70k_or_more","Median_personal_income"
"1","Kaikoura Ranges",105,57,219,201,354,219,213,35600
"2","Kaikoura",108,69,357,414,492,279,189,30200
"3","Hanmer Range",21,6,30,21,63,33,33,37100
"4","Amuri",174,57,267,207,402,351,258,38600
"5","Hanmer Springs",51,39,114,132,255,102,114,35300
"6","Upper Hurunui",114,57,258,189,237,171,159,28300
"7","Parnassus",108,45,225,189,240,126,117,27600
"8","Ashley Forest",72,18,75,60,117,84,105,36400
"9","Omihi",117,42,189,147,219,156,141,31000
"10","Balcairn",201,84,357,303,387,303,294,31100
"11","Amberley",141,63,408,312,324,228,225,26800
"12","Okuku",72,21,72,75,96,117,117,39400
"13","Ashley Gorge",126,39,144,114,180,162,147,33000
"14","Oxford",207,69,390,285,333,243,228,26900
"15","Starvation Hill-Cust",210,60,273,228,327,258,402,36700
"16","Loburn",231,69,252,201,333,258,414,36900
"17","Eyrewell",174,48,162,138,282,267,333,43500
"18","West Eyreton",150,51,147,126,225,186,273,40200
"19","Ashley-Sefton",210,60,261,222,324,276,351,36700
"20","Fernside",120,57,150,135,207,144,255,36500
"21","Rangiora North West",162,48,360,387,327,219,300,28400
"22","Kingsbury",243,81,441,417,429,270,438,29200
"23","Ashgrove",135,57,195,174,273,192,171,32800
"24","Rangiora North East",165,60,363,282,330,186,138,24700
"25","Oxford Estate",108,33,165,141,192,177,195,35300
"26","Rangiora Central",3,3,3,3,9,9,3,37500
"27","Rangiora South West",225,78,327,273,393,306,279,31700
"28","Lilybrook",246,126,507,426,525,342,243,26900
"29","Waikuku",135,57,189,165,291,222,255,36700
"30","Mandeville-Ohoka",285,102,291,270,387,399,726,44300
"31","Rangiora South East",183,60,306,282,339,270,321,33200
"32","Southbrook",63,21,117,90,132,117,75,32200
"33","Swannanoa-Eyreton",117,33,84,84,138,120,198,39100
"34","Tuahiwi",102,30,129,114,147,138,126,32100
"35","Woodend",270,78,429,291,417,387,384,33300
"36","Pegasus",210,57,282,222,393,348,480,40600
"37","Clarkville",144,51,147,111,204,180,297,40900
"38","Pegasus Bay",90,36,168,141,192,147,105,30400
"39","Kaiapoi North West",168,66,309,315,384,255,174,28900
"40","Silverstream (Waimakariri District)",63,18,123,108,171,150,102,37100
"41","Sovereign Palms",285,90,423,318,606,444,603,38600
"42","Kaiapoi West",135,39,186,153,246,174,102,30000
"43","Kaiapoi Central",156,75,369,348,402,297,162,28200
"44","Kaiapoi South",171,54,303,234,312,243,243,31200
"45","Kaiapoi East",12,12,72,51,60,27,18,24100
"46","McLeans Island",18,15,24,21,39,24,30,32600
"47","Paparua",408,99,135,75,96,51,78,8200
"48","Yaldhurst",186,63,159,123,300,234,276,39600
"49","Christchurch Airport",21,15,21,21,24,33,18,29100
"50","Clearwater",81,18,69,48,84,84,216,50300
"51","Belfast West",129,51,300,237,351,249,246,35600
"52","Harewood",138,51,186,144,189,174,309,37800
"53","Brooklands-Spencerville",57,27,87,84,138,105,96,36000
"54","Styx",87,45,159,129,219,153,126,33900
"55","Belfast East",183,72,315,300,498,303,228,33400
"56","Northwood",375,111,405,372,543,393,786,37400
"57","Russley",87,27,105,132,183,120,180,37400
"58","Regents Park",138,45,105,93,153,150,297,44900
"59","Hawthornden",246,93,327,297,396,300,363,32800
"60","Bishopdale North",366,120,570,459,723,588,567,35200
"61","Casebrook",393,120,534,486,690,579,549,34500
"62","Bishopdale West",264,96,402,336,498,357,324,31700
"63","Templeton",141,57,219,186,324,285,264,38200
"64","Islington",81,30,132,120,231,144,69,34400
"65","Burnside Park",402,135,378,303,519,375,498,33400
"66","Marshland",96,21,99,75,126,111,123,37700
"67","Avonhead North",165,54,174,129,225,180,258,35700
"68","Redwood North",243,69,318,309,501,387,411,37000
"69","Broomfield",249,84,423,309,447,318,225,28400
"70","Redwood West",219,96,354,258,387,234,201,27400
"71","Avonhead West",219,66,234,228,297,228,285,32000
"72","Bishopdale South",198,81,339,297,411,285,231,30200
"73","Islington-Hornby Industrial",21,9,72,51,72,57,30,30800
"74","Burnside",429,159,417,330,567,402,507,32400
"75","Hei Hei",345,114,471,387,702,495,261,32400
"76","Papanui North",204,108,411,294,330,180,120,22300
"77","Avonhead East",336,123,312,306,489,327,366,32000
"78","Redwood East",264,99,480,390,537,471,372,33100
"79","Avonhead South",378,114,375,375,564,399,429,32400
"80","Riccarton Racecourse",96,24,171,162,273,183,120,34800
"81","Bryndwr North",402,159,447,360,585,348,378,29000
"82","Northlands (Christchurch City)",12,3,12,18,30,15,12,32800
"83","Papanui West",306,117,375,375,459,366,432,31800
"84","Ilam North",585,315,510,351,534,381,498,24100
"85","Hornby West",237,75,327,321,549,363,183,32500
"86","Hornby Central",15,3,18,18,39,12,12,35000
"87","Northcote (Christchurch City)",246,99,375,327,513,354,273,32100
"88","Jellie Park",381,150,345,279,438,324,627,35600
"89","Ilam South",510,237,519,351,480,324,345,22900
"90","Bryndwr South",321,102,459,420,390,282,402,26000
"91","Papanui East",243,75,282,336,390,273,408,33000
"92","Sockburn North",486,210,726,546,759,447,312,24400
"93","Hornby South",420,156,642,537,966,687,282,31900
"94","Ilam University",888,483,396,150,210,102,108,7900
"95","Prestons",198,87,303,318,435,459,627,43900
"96","Strowan",339,120,351,375,441,381,810,40000
"97","Fendalton",225,75,171,174,255,210,540,44200
"98","Waitikiri",276,78,261,216,378,333,609,42900
"99","Mairehau North",261,96,441,477,576,381,366,30800
"100","Bush Inn",591,333,696,420,444,216,129,17000
"101","Awatea North",270,75,318,261,516,375,276,35100
"102","Upper Riccarton",246,138,345,213,294,144,60,19700
"103","Malvern",219,78,246,207,351,342,573,44500
"104","Rutland",279,108,267,270,411,333,732,43100
"105","Sockburn South",33,15,51,39,93,60,27,35600
"106","Deans Bush",339,141,264,240,315,264,624,36800
"107","Wigram North",84,27,90,84,108,84,78,28900
"108","Holmwood",201,69,192,117,270,240,672,52800
"109","Wharenui",399,267,534,369,453,258,126,20100
"110","Wigram West",192,51,159,111,243,189,204,35100
"111","Awatea South",108,33,129,147,195,153,126,32300
"112","Merivale",288,96,261,255,471,399,714,44700
"113","Mairehau South",303,129,432,354,648,543,528,38300
"114","Mona Vale",180,51,162,129,234,132,264,34700
"115","Riccarton West",528,375,660,363,609,276,135,18600
"116","Shirley West",420,156,654,522,705,486,345,27100
"117","Middleton",30,21,39,18,36,24,9,18900
"118","Wigram South",210,39,105,96,240,183,180,37000
"119","Queenspark",306,81,462,384,558,474,426,34100
"120","St Albans North",147,63,297,249,429,279,342,37000
"121","St Albans West",210,96,291,303,462,369,495,39500
"122","Travis Wetlands",198,90,348,264,399,318,318,33600
"123","Wigram East",78,33,90,57,171,111,117,38600
"124","Riccarton Central",6,0,12,0,18,6,6,33800
"125","Oaklands West",249,87,330,222,414,366,408,36900
"126","Riccarton South",456,279,522,366,735,459,198,26400
"127","Halswell West",288,90,270,276,588,615,747,47600
"128","Shirley East",246,90,369,480,426,300,342,28000
"129","Broken Run",54,21,69,45,96,90,105,42100
"130","St Albans East",228,114,360,327,681,468,480,39700
"131","Hagley Park",9,3,0,3,3,6,3,39500
"132","Hillmorton",255,90,378,309,522,420,378,35300
"133","Parklands",372,138,567,480,663,483,459,30800
"134","Riccarton East",126,63,147,144,237,174,111,31800
"135","Edgeware",330,162,513,501,1020,660,474,37000
"136","Aidanfield",432,123,438,468,624,420,651,33600
"137","Tower Junction",9,3,18,69,15,3,3,22500
"138","Burwood",285,96,459,387,582,444,372,33300
"139","Christchurch Central-West",78,33,84,96,183,150,246,45900
"140","Christchurch Central-North",183,105,321,288,498,411,399,39300
"141","Richmond North (Christchurch City)",192,75,306,270,420,330,321,35500
"142","Waimairi Beach",102,33,132,117,174,153,318,44900
"143","Addington West",288,87,372,315,537,354,180,30200
"144","Otakaro-Avon River Corridor",9,0,24,12,18,9,6,22500
"145","Oaklands East",258,93,414,360,585,510,429,37400
"146","Addington North",NA,NA,NA,NA,6,NA,NA,40000
"147","Dallington",189,78,387,297,450,297,204,29900
"148","Christchurch Central",9,6,24,9,21,12,18,33500
"149","Hoon Hay West",348,114,489,417,522,366,234,26000
"150","Richmond South (Christchurch City)",213,75,324,255,480,261,171,31100
"151","Spreydon West",228,87,432,357,606,468,378,36300
"152","Christchurch Central-East",153,87,270,222,444,318,249,37800
"153","Christchurch Central-South",126,75,87,54,93,51,42,17000
"154","North Beach",351,129,570,507,768,519,390,31500
"155","Halswell North",201,54,216,180,306,249,408,39100
"156","Addington East",246,123,468,369,690,405,219,31700
"157","Avondale (Christchurch City)",219,75,354,258,435,351,219,32500
"158","Spreydon North",330,144,480,465,669,558,444,34100
"159","Hoon Hay East",258,78,381,309,588,504,426,38400
"160","Avonside",171,75,342,180,291,171,123,23600
"161","Linwood West",537,216,834,666,1167,603,300,28300
"162","Halswell South",204,63,288,264,384,327,453,38300
"163","Sydenham Central",15,3,15,12,30,27,18,42100
"164","Spreydon South",171,69,336,381,432,300,261,31000
"165","Rawhiti",228,102,444,348,555,333,234,30000
"166","Wainoni",279,111,468,330,546,348,162,27600
"167","Linwood North",246,81,492,354,501,342,219,27700
"168","Aranui",456,186,828,489,669,369,96,21300
"169","Sydenham West",132,60,237,195,270,186,129,28400
"170","Lancaster Park",30,15,54,21,51,33,15,24200
"171","Phillipstown",402,177,720,495,900,495,204,27500
"172","Kennedys Bush",105,30,66,69,129,102,270,48200
"173","Somerfield East",321,108,402,399,576,471,639,37900
"174","Somerfield West",276,114,444,435,456,354,480,30400
"175","Linwood East",195,63,348,270,420,252,117,28100
"176","Sydenham North",192,75,294,216,438,306,168,33300
"177","Hoon Hay South",174,51,255,237,348,306,366,38400
"178","Charleston (Christchurch City)",132,63,216,183,342,222,72,31400
"179","Sydenham South",237,114,384,441,543,387,291,30900
"180","Bexley",249,108,405,321,534,303,108,27100
"181","Waltham",162,81,267,237,444,285,165,33500
"182","Westmorland",198,75,195,192,309,261,576,45600
"183","Woolston North",309,135,579,411,645,435,240,28300
"184","New Brighton",291,108,543,429,576,450,333,29800
"185","Cashmere West",282,102,297,258,399,348,816,45300
"186","Bromley South",261,93,501,360,546,384,168,28000
"187","Ensors",210,78,300,294,426,330,225,32200
"188","Beckenham",219,75,258,249,324,306,483,39000
"189","Bromley North",3,3,9,6,12,9,6,37500
"190","St Martins",225,90,318,291,423,357,462,37400
"191","Opawa",117,33,198,204,204,171,222,33300
"192","Woolston West",117,48,174,147,234,171,90,30700
"193","Woolston East",267,174,534,471,627,399,204,27400
"194","Huntsbury",213,66,219,177,327,309,579,46300
"195","Cashmere East",279,105,303,306,480,402,867,45500
"196","Hillsborough (Christchurch City)",195,57,285,270,369,333,405,38300
"197","Woolston South",33,24,96,69,99,69,45,29000
"198","Port Hills",9,0,6,0,6,12,18,50300
"199","South New Brighton",270,102,399,384,522,441,432,34300
"200","Brookhaven-Ferrymead",78,33,123,132,222,147,135,35300
"201","Heathcote Valley",180,69,309,249,321,300,393,36100
"202","Mount Pleasant",291,84,363,300,555,471,939,46600
"203","Redcliffs",174,60,222,186,303,261,483,43200
"204","Governors Bay",69,33,87,75,105,96,240,46700
"205","Inlets other Christchurch City",NA,NA,NA,NA,NA,NA,NA,NA
"206","Clifton Hill",126,39,153,150,234,201,462,47900
"207","Lyttelton",240,87,357,318,480,384,624,39200
"208","Inlet Port Lyttelton",NA,NA,NA,NA,NA,NA,NA,NA
"209","Sumner",336,102,330,318,459,381,879,43600
"210","Teddington",33,15,21,9,39,27,48,39300
"211","Diamond Harbour",117,39,177,192,228,183,300,37900
"212","Inland water Lake Ellesmere/Te Waihora South",NA,NA,NA,NA,NA,NA,NA,NA
"213","Banks Peninsula South",129,42,165,126,186,126,183,31500
"214","Eastern Bays-Banks Peninsula",54,21,96,75,93,78,93,31300
"215","Akaroa Harbour",66,30,135,114,144,78,84,28100
"216","Inlet Akaroa Harbour",NA,NA,NA,NA,NA,NA,NA,NA
"217","Akaroa",57,24,123,123,183,102,81,31800
"218","Craigieburn",12,9,21,24,33,21,21,35600
"219","Torlesse",90,39,165,120,216,159,120,33600
"220","Glenroy-Hororata",105,42,120,99,195,198,147,39700
"221","Glentunnel",105,45,159,135,189,165,186,35100
"222","Darfield",228,75,336,333,432,366,450,36400
"223","Kirwee",102,39,135,93,192,171,279,44800
"224","Bankside",135,39,138,99,327,291,255,45100
"225","Charing Cross",75,30,78,84,171,114,159,38800
"226","Halkett",177,39,186,168,240,195,357,38800
"227","Newtons Road",402,96,318,279,534,438,678,39600
"228","West Melton",177,39,135,132,210,267,573,55400
"229","Burnham Camp",60,21,36,54,366,306,102,47900
"230","Rolleston Izone",3,0,3,3,12,3,3,32200
"231","Rolleston North West",267,111,267,255,567,648,648,47300
"232","Springston",198,81,228,183,339,261,408,38100
"233","Rolleston Central",270,105,300,249,459,468,579,42500
"234","Rolleston North East",345,105,351,297,660,714,918,48200
"235","Rolleston South West",276,90,192,177,330,351,657,48200
"236","Southbridge",231,69,294,228,408,366,357,38500
"237","Rolleston South East",192,57,231,219,426,567,615,50900
"238","Trents",168,69,186,174,246,261,456,44800
"239","Prebbleton",414,126,348,306,573,528,1161,48600
"240","Irwell",129,39,159,129,219,216,165,37300
"241","Ladbrooks",177,66,192,138,261,180,378,38900
"242","Lincoln West",426,243,375,270,348,294,465,25200
"243","Lincoln East",327,105,306,276,513,441,774,43500
"244","Leeston",159,57,300,231,330,339,294,37400
"245","Tai Tapu",93,33,102,81,156,135,282,47500
"246","Motukarara",51,21,75,42,123,108,96,41000
"247","Inland water Lake Ellesmere/Te Waihora North",NA,NA,NA,NA,NA,NA,NA,NA
"248","Ashburton Lakes",9,6,12,9,15,12,12,33000
"249","Cairnbrae",114,54,114,99,255,234,222,43300
"250","Ashburton Forks",195,60,216,177,414,372,285,41800
"251","Methven",129,45,201,189,330,252,282,39200
"252","Ealing-Lowcliffe",147,39,105,105,318,258,174,42400
"253","Eiffelton",195,66,222,168,447,390,435,43700
"254","Chertsey",138,54,150,120,270,285,216,42600
"255","Winchmore-Wakanui",123,48,153,147,270,222,258,41400
"256","Allenton North",174,57,348,375,444,357,348,34900
"257","Allenton South",165,72,252,270,357,291,246,33700
"258","Rakaia",99,39,207,183,249,228,135,33500
"259","Ashburton North",75,27,141,123,171,159,165,36400
"260","Allenton East",150,54,309,321,378,300,267,33100
"261","Tinwald North",84,36,159,171,201,180,156,34800
"262","Ashburton Central",12,9,21,21,27,18,21,31100
"263","Ashburton West",57,27,159,204,177,111,99,27200
"264","Tinwald South",171,75,369,291,474,306,216,31900
"265","Ashburton East",135,66,318,303,321,195,129,25700
"266","Netherby",162,75,279,264,390,303,219,33100
"267","Hampstead",201,87,426,408,522,414,192,30100
"268","Ben McLeod",6,6,27,18,24,15,18,28800
"269","Arundel",114,48,126,138,246,201,210,38800
"270","Levels Valley",99,33,117,99,165,144,162,37000
"271","Geraldine",180,81,504,423,429,294,297,27400
"272","Rangitata",135,54,267,186,285,210,216,32000
"273","Waitohi (Timaru District)",141,81,225,162,309,273,204,35500
"274","Pleasant Point",108,42,207,174,216,165,186,31300
"275","Temuka West",165,66,396,372,378,237,210,26800
"276","Hadlow",126,33,159,147,213,186,288,40100
"277","Levels",87,27,171,147,219,159,177,34900
"278","Temuka East",159,69,399,312,387,270,264,29600
"279","Gleniti North",90,30,198,180,255,195,303,39600
"280","Washdyke",66,24,183,126,198,138,111,32300
"281","Fairview",141,63,222,204,315,210,201,32800
"282","Gleniti South",213,72,390,357,381,264,378,29900
"283","Glenwood",156,51,309,258,288,207,180,27800
"284","Marchwiel West",123,45,288,216,261,183,111,26800
"285","Marchwiel East",159,72,357,303,360,201,120,25200
"286","Highfield North",201,78,426,342,363,249,348,28400
"287","Highfield South",114,30,186,171,213,141,156,30400
"288","Waimataitai-Maori Hill",162,66,321,297,381,255,243,30800
"289","Fraser Park",192,81,465,387,510,345,297,30500
"290","Seaview",177,66,366,318,366,273,201,28300
"291","Inlet Port Timaru",NA,NA,NA,NA,NA,NA,NA,NA
"292","Watlington",180,87,345,294,402,324,186,30300
"293","Timaru Central",42,18,75,60,87,63,24,27500
"294","Timaru East",21,9,54,33,54,30,21,27400
"295","Parkside",195,87,423,348,435,276,198,27400
"296","Kensington (Timaru District)",120,51,279,201,285,180,102,27900
"297","Mackenzie Lakes",78,54,111,126,363,153,141,36500
"298","Inland water Lake Pukaki",NA,NA,NA,NA,NA,NA,NA,NA
"299","Inland water Lake Tekapo",NA,NA,NA,NA,NA,NA,NA,NA
"300","Twizel",102,51,240,207,315,159,171,31400
"301","Opua (Mackenzie District)",126,45,144,135,261,171,171,36600
"302","Fairlie",72,39,162,144,165,90,78,25700
"303","Hakataramea",75,27,120,87,159,102,84,32200
"304","Maungati",69,18,75,60,141,93,111,38500
"305","Lyalldale",60,30,90,78,123,90,69,31800
"306","Makikihi-Willowbridge",90,33,171,108,180,120,138,31800
"307","Waimate North",51,24,120,75,75,63,48,22900
"308","Morven-Glenavy-Ikawai",96,33,135,90,213,198,111,40600
"309","Waimate West",105,60,324,228,201,132,72,22400
"310","Waimate East",126,42,405,366,237,129,93,22500
"311","Aviemore",36,30,120,105,207,75,93,34700
"312","Inland water Lake Ohau",NA,NA,NA,NA,NA,NA,NA,NA
"313","Danseys Pass",78,33,168,123,183,120,90,29500
"314","Oceanic Canterbury Region",NA,NA,NA,NA,NA,NA,NA,NA
"315",NA,NA,NA,NA,NA,NA,NA,NA,NA
